기간	자치구	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관
기간	자치구	합계	한국은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	지방은행	특수은행	특수은행	특수은행	특수은행	기타	기타
기간	자치구	합계	한국은행	우리은행	SC제일은행	KB국민은행	한국외환은행	신한은행	한국씨티은행	하나은행	지방은행	IBK기업은행	농협중앙회	수협중앙회	한국산업은행	수출입은행	외국은행
2014	종로구	140	-	25	6	23	12	22	1	13	-	9	15	1	2	-	11
2014	중구	217	1	39	9	29	12	31	4	19	7	18	15	6	2	-	25
2014	용산구	90	-	18	5	12	5	13	2	13	-	11	10	-	1	-	-
2014	성동구	63	-	12	4	13	2	10	2	7	-	6	5	1	1	-	-
2014	광진구	62	-	12	4	15	6	9	1	8	-	5	2	-	-	-	-
2014	동대문구	70	-	14	4	13	4	7	1	9	-	7	8	3	-	-	-
2014	중랑구	38	-	8	3	9	2	6	-	4	-	2	2	2	-	-	-
2014	성북구	78	-	15	5	15	3	11	1	14	1	6	6	1	-	-	-
2014	강북구	37	-	6	2	8	2	4	-	6	-	4	3	2	-	-	-
2014	도봉구	37	-	6	2	8	2	8	-	4	-	2	4	1	-	-	-
2014	노원구	68	-	15	1	15	1	9	2	8	-	7	7	1	2	-	-
2014	은평구	51	-	9	2	10	2	9	1	6	-	5	4	3	-	-	-
2014	서대문구	64	-	15	4	10	3	10	-	10	-	7	4	-	1	-	-
2014	마포구	102	-	18	5	13	7	15	2	14	1	13	9	4	1	-	-
2014	양천구	79	-	12	8	15	6	15	2	10	-	5	5	1	-	-	-
2014	강서구	74	-	16	3	15	3	15	1	6	-	6	6	3	-	-	-
2014	구로구	72	-	13	3	12	6	10	-	9	2	13	4	-	-	-	-
2014	금천구	67	-	14	4	10	3	7	-	6	-	13	6	2	2	-	-
2014	영등포구	144	-	25	8	26	6	19	3	16	5	15	12	5	2	1	1
2014	동작구	65	-	13	2	15	3	13	-	8	-	3	6	2	-	-	-
2014	관악구	55	-	14	4	10	2	10	-	4	-	5	5	1	-	-	-
2014	서초구	220	-	35	11	34	18	42	8	28	4	17	13	4	5	1	-
2014	강남구	365	1	64	18	59	24	53	18	45	8	26	31	8	9	-	1
2014	송파구	149	-	29	9	26	10	25	3	20	1	7	12	5	2	-	-
2014	강동구	74	-	16	4	14	4	9	2	11	1	7	4	2	-	-	-
